                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9736,                 5.0193,                  1.906,                      0,                      0,                      0,                      0,                 2.6936,                  5.069,                 1.8552,                      0,                      0,                      0
                      2,                  3.053,                 4.7341,                 2.0833,                      0,                      0,                      0,                      0,                  2.659,                 5.0526,                  1.844,             1.2376e-05,             1.2376e-05,             1.2376e-05
                      3,                 3.1329,                 4.8074,                 2.0159,                      0,                      0,                      0,                      0,                 2.6966,                   5.04,                 1.8181,             2.4505e-05,             2.4505e-05,             2.4505e-05
                      4,                 2.7721,                 4.6484,                 1.8657,                      0,                      0,                      0,                      0,                 2.7531,                 4.8929,                 1.7456,             3.6386e-05,             3.6386e-05,             3.6386e-05
                      5,                 3.2843,                 4.5996,                  2.054,                      0,                      0,                      0,                      0,                 2.4094,                  4.738,                 1.5723,              4.802e-05,              4.802e-05,              4.802e-05
                      6,                 2.3391,                 4.5447,                 1.5479,                      0,                      0,                      0,                      0,                 2.4866,                 4.5726,                 1.5421,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      7,                 2.4318,                 4.7497,                 1.6735,                      0,                      0,                      0,                      0,                 2.4585,                 4.4971,                 1.4932,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      8,                 2.2455,                 4.4323,                  1.544,                      0,                      0,                      0,                      0,                 2.2038,                 4.5102,                 1.3668,             8.1436e-05,             8.1436e-05,             8.1436e-05
                      9,                 1.9059,                 4.4081,                 1.4348,                      0,                      0,                      0,                      0,                  2.045,                 4.4433,                 1.3155,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.7669,                 4.1387,                 1.3495,                0.00071,                0.08333,                0.00547,                0.00055,                 1.9019,                 4.4489,                 1.2662,             0.00010248,             0.00010248,             0.00010248
                     11,                 1.7584,                 4.1323,                 1.3346,                0.00069,                0.08333,                0.00621,                0.00124,                 1.7385,                  4.433,                 1.2302,             0.00011263,             0.00011263,             0.00011263
                     12,                 1.5867,                 4.0401,                 1.2522,                0.00132,                0.16667,                 0.0258,                0.00583,                 1.6801,                  4.429,                  1.215,             0.00012253,             0.00012253,             0.00012253
                     13,                 1.3571,                 3.7505,                 1.1373,                0.00132,                0.16667,                0.01786,                0.00571,                 1.5937,                 4.4049,                 1.2015,             0.00013218,             0.00013218,             0.00013218
                     14,                 1.3631,                 3.7573,                 1.1336,                0.00135,                0.16667,                 0.0258,                0.01158,                 1.4564,                 4.4114,                 1.1436,             0.00014159,             0.00014159,             0.00014159
                     15,                 1.3147,                 3.7072,                 1.1362,                0.00137,                0.16667,                0.04773,                0.01808,                  1.415,                 4.3746,                 1.0991,             0.00015075,             0.00015075,             0.00015075
                     16,                 1.3771,                  3.608,                  1.104,                0.00211,                   0.25,                0.06999,                0.03054,                 1.4585,                 4.2971,                  1.071,             0.00015966,             0.00015966,             0.00015966
                     17,                 1.1914,                  3.302,                 1.0646,                0.00221,                   0.25,                0.06778,                 0.0336,                  1.464,                 4.2074,                 1.0547,             0.00016832,             0.00016832,             0.00016832
                     18,                 1.3732,                 3.3667,                 1.0883,                0.00221,                   0.25,                0.06778,                 0.0336,                  1.464,                 4.2074,                 1.0547,             0.00017674,             0.00017674,             0.00017674
                     19,                 1.3204,                 3.3489,                 1.0417,                0.00232,                   0.25,                0.08754,                0.04576,                 1.4225,                 4.0909,                 1.0317,             0.00018491,             0.00018491,             0.00018491
                     20,                  1.118,                 3.1378,                0.96233,                0.00232,                   0.25,                0.08754,                0.04576,                 1.4225,                 4.0909,                 1.0317,             0.00019283,             0.00019283,             0.00019283
                     21,                 1.3009,                  3.107,                 1.0252,                0.79648,                0.16667,                 0.1228,                0.06451,                 1.4012,                 3.9934,                 1.0077,              0.0002005,              0.0002005,              0.0002005
                     22,                 1.4447,                 3.0218,                 1.0968,                0.79648,                0.16667,                 0.1228,                0.06451,                 1.4012,                 3.9934,                 1.0077,             0.00020793,             0.00020793,             0.00020793
                     23,                 1.2354,                 2.9452,                  1.024,                0.90228,                0.13788,                0.12571,                0.07452,                 1.3965,                 3.9186,                0.99009,             0.00021511,             0.00021511,             0.00021511
                     24,                 1.1068,                 2.6649,                0.94716,                0.90228,                0.13788,                0.12571,                0.07452,                 1.3965,                 3.9186,                0.99009,             0.00022204,             0.00022204,             0.00022204
                     25,                 1.2203,                 2.6147,                0.95852,                0.91563,                0.16459,                0.15938,                0.09179,                 1.4272,                 3.8315,                0.99446,             0.00022872,             0.00022872,             0.00022872
                     26,                 1.1465,                 2.4874,                0.94314,                0.91563,                0.16459,                0.15938,                0.09179,                 1.4272,                 3.8315,                0.99446,             0.00023516,             0.00023516,             0.00023516
                     27,                 1.2671,                  2.861,                0.98972,                0.89108,                0.16667,                0.17609,                0.10239,                  1.413,                 3.7775,                0.99989,             0.00024134,             0.00024134,             0.00024134
                     28,                 1.2898,                 2.4554,                 1.0187,                0.89108,                0.16667,                0.17609,                0.10239,                  1.413,                 3.7775,                0.99989,             0.00024729,             0.00024729,             0.00024729
                     29,                 1.3544,                 2.6874,                0.97907,                0.79132,                0.16667,                 0.2942,                0.18055,                 1.3984,                  3.681,                 1.0057,             0.00025298,             0.00025298,             0.00025298
                     30,                 1.2565,                 2.2849,                0.95523,                0.79132,                0.16667,                 0.2942,                0.18055,                 1.3984,                  3.681,                 1.0057,             0.00025843,             0.00025843,             0.00025843
                     31,                 1.2674,                 2.0663,                0.94725,                0.00845,                0.66667,                0.47759,                0.29649,                  1.341,                 3.5065,                 1.0047,             0.00026363,             0.00026363,             0.00026363
                     32,                 1.2051,                 1.9678,                0.93666,                0.00845,                0.66667,                0.47759,                0.29649,                  1.341,                 3.5065,                 1.0047,             0.00026858,             0.00026858,             0.00026858
                     33,                 1.2555,                 2.0558,                0.98755,                0.01181,                0.83333,                0.47097,                 0.2843,                 1.2416,                 3.3826,                0.97834,             0.00027328,             0.00027328,             0.00027328
                     34,                 1.2632,                 1.8957,                0.97795,                0.01181,                0.83333,                0.47097,                 0.2843,                 1.2416,                 3.3826,                0.97834,             0.00027774,             0.00027774,             0.00027774
                     35,                 1.2869,                 2.0364,                 1.0039,                0.01298,                0.91667,                0.69814,                0.40956,                 1.2188,                 3.2841,                0.98479,             0.00028194,             0.00028194,             0.00028194
                     36,                 1.0639,                 1.9724,                0.95924,                0.01298,                0.91667,                0.69814,                0.40956,                 1.2188,                 3.2841,                0.98479,             0.00028591,             0.00028591,             0.00028591
