                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7006,                 4.4519,                   1.93,                      0,                      0,                      0,                      0,                 2.7374,                 4.5552,                 2.0261,                      0,                      0,                      0
                      2,                 2.5007,                 4.4092,                 1.7564,                      0,                      0,                      0,                      0,                 2.7501,                 4.5011,                 1.9993,             1.2376e-05,             1.2376e-05,             1.2376e-05
                      3,                  2.463,                  4.385,                 1.8251,                      0,                      0,                      0,                      0,                 2.6881,                 4.4776,                  1.922,             2.4505e-05,             2.4505e-05,             2.4505e-05
                      4,                 2.5389,                 4.3957,                 1.8659,                      0,                      0,                      0,                      0,                 2.5583,                 4.4499,                 1.8175,             3.6386e-05,             3.6386e-05,             3.6386e-05
                      5,                 2.6761,                 4.3998,                 1.9245,                      0,                      0,                      0,                      0,                 2.4133,                 4.3743,                 1.7471,              4.802e-05,              4.802e-05,              4.802e-05
                      6,                 2.0737,                 4.2571,                 1.5798,                      0,                      0,                      0,                      0,                 2.1131,                 4.3205,                 1.6035,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      7,                 1.8427,                 4.2367,                 1.4158,                      0,                      0,                      0,                      0,                 1.7755,                 4.2532,                 1.5146,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      8,                 1.8388,                 4.2133,                 1.5142,                      0,                      0,                      0,                      0,                  1.533,                 4.1863,                 1.4599,             8.1436e-05,             8.1436e-05,             8.1436e-05
                      9,                 1.5026,                 4.0134,                 1.3353,                      0,                      0,                      0,                      0,                 1.3415,                 4.1298,                 1.4054,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.5524,                  3.964,                 1.3552,                0.00105,                0.08333,                0.02827,                0.00283,                 1.2921,                 4.0992,                 1.3826,             0.00010248,             0.00010248,             0.00010248
                     11,                 1.2337,                 3.8952,                 1.1906,                0.00198,                0.16667,                0.08346,                0.01952,                 1.3063,                 4.0953,                  1.366,             0.00011263,             0.00011263,             0.00011263
                     12,                 1.2185,                 3.7124,                 1.1752,                0.00298,                   0.25,                0.12559,                0.04438,                 1.2736,                  4.086,                 1.3261,             0.00012253,             0.00012253,             0.00012253
                     13,                 1.1123,                 3.3962,                 1.1106,                0.00298,                   0.25,                   0.15,                0.07455,                 1.2266,                 4.0203,                 1.2397,             0.00013218,             0.00013218,             0.00013218
