                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.093,                 4.5164,                 2.1502,                      0,                      0,                      0,                      0,                 3.4703,                  4.763,                 2.3744,                      0,                      0,                      0
                      2,                 3.1235,                 4.5315,                 2.2667,                      0,                      0,                      0,                      0,                 3.5114,                 4.7007,                 2.3931,             1.2376e-05,             1.2376e-05,             1.2376e-05
                      3,                 3.0528,                 4.4412,                 2.2158,                      0,                      0,                      0,                      0,                 3.5724,                  4.618,                 2.4124,             2.4505e-05,             2.4505e-05,             2.4505e-05
                      4,                 3.1754,                 4.4486,                 2.2361,                      0,                      0,                      0,                      0,                 3.6846,                 4.5542,                 2.4967,             3.6386e-05,             3.6386e-05,             3.6386e-05
                      5,                  3.142,                 4.3938,                 2.1705,                      0,                      0,                      0,                      0,                 3.5553,                 4.5034,                 2.3474,              4.802e-05,              4.802e-05,              4.802e-05
                      6,                 2.7315,                 4.2938,                 1.9443,                      0,                      0,                      0,                      0,                 3.3738,                 4.4791,                 2.2092,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      7,                 2.7834,                 4.4262,                 2.0018,                      0,                      0,                      0,                      0,                 3.0057,                 4.4856,                 2.0409,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      8,                  2.407,                 4.2597,                 1.8782,                      0,                      0,                      0,                      0,                 2.8855,                 4.3396,                 2.0243,             8.1436e-05,             8.1436e-05,             8.1436e-05
                      9,                 2.4164,                 4.1555,                 1.7956,                  0.001,                0.08333,                0.04221,                0.00422,                   2.95,                 4.3034,                 2.0579,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 2.1261,                 4.0743,                 1.6572,                0.00281,                   0.25,                0.24875,                0.05607,                 2.8551,                 4.2103,                 2.0726,             0.00010248,             0.00010248,             0.00010248
                     11,                 1.7956,                 4.0682,                  1.513,                0.00276,                   0.25,                0.24875,                0.12765,                  2.816,                 4.2153,                 1.9824,             0.00011263,             0.00011263,             0.00011263
                     12,                 1.9174,                 3.8963,                  1.519,                0.00259,                   0.25,                0.24875,                0.13024,                 2.6133,                 4.0185,                 1.7806,             0.00012253,             0.00012253,             0.00012253
                     13,                 2.1607,                 3.6891,                 1.7397,                0.00418,                0.33333,                0.20939,                0.10202,                 2.5848,                 3.9841,                 1.7948,             0.00013218,             0.00013218,             0.00013218
                     14,                 2.1769,                 3.7091,                 1.8249,                0.00487,                0.41667,                0.20965,                0.08652,                 2.4423,                 3.9603,                 1.7483,             0.00014159,             0.00014159,             0.00014159
                     15,                 1.6738,                 3.5345,                 1.3853,                0.00571,                    0.5,                0.25261,                0.11077,                 2.3026,                 3.9413,                 1.6819,             0.00015075,             0.00015075,             0.00015075
                     16,                 1.6536,                 3.5532,                 1.3757,                0.00567,                    0.5,                0.21941,                0.08925,                 2.1906,                 3.8866,                 1.6088,             0.00015966,             0.00015966,             0.00015966
                     17,                 1.8478,                 3.5065,                  1.482,                0.00574,                    0.5,                0.25258,                0.09332,                  2.101,                 3.8904,                   1.55,             0.00016832,             0.00016832,             0.00016832
                     18,                 2.1556,                 3.3045,                 1.5921,                0.00574,                    0.5,                0.25258,                0.09332,                  2.101,                 3.8904,                   1.55,             0.00017674,             0.00017674,             0.00017674
                     19,                  2.033,                 3.3515,                 1.5405,                0.00569,                    0.5,                 0.2537,                0.06612,                 2.1396,                 3.8536,                  1.572,             0.00018491,             0.00018491,             0.00018491
                     20,                 1.9289,                 2.9964,                 1.4655,                0.00569,                    0.5,                 0.2537,                0.06612,                 2.1396,                 3.8536,                  1.572,             0.00019283,             0.00019283,             0.00019283
                     21,                 1.6465,                 3.0256,                 1.3224,                0.00563,                    0.5,                 0.2551,                0.05808,                 2.1888,                 3.7706,                 1.6162,              0.0002005,              0.0002005,              0.0002005
                     22,                 1.9057,                  2.904,                 1.4017,                0.00563,                    0.5,                 0.2551,                0.05808,                 2.1888,                 3.7706,                 1.6162,             0.00020793,             0.00020793,             0.00020793
                     23,                 1.8581,                 3.0063,                 1.3689,                0.00523,                    0.5,                0.26245,                0.05841,                 2.1869,                 3.7829,                 1.5346,             0.00021511,             0.00021511,             0.00021511
                     24,                 1.8844,                 2.8574,                  1.353,                0.00523,                    0.5,                0.26245,                0.05841,                 2.1869,                 3.7829,                 1.5346,             0.00022204,             0.00022204,             0.00022204
                     25,                 1.7318,                 2.5959,                  1.355,                0.00526,                    0.5,                0.31663,                0.09902,                 2.1712,                 3.6742,                 1.5822,             0.00022872,             0.00022872,             0.00022872
                     26,                 2.0415,                 2.6698,                 1.4799,                0.00526,                    0.5,                0.31663,                0.09902,                 2.1712,                 3.6742,                 1.5822,             0.00023516,             0.00023516,             0.00023516
                     27,                 1.9686,                 2.7992,                 1.4589,                0.00551,                    0.5,                0.27859,                0.11794,                 2.1126,                 3.6581,                 1.5522,             0.00024134,             0.00024134,             0.00024134
