                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7519,                 4.9833,                 3.1975,                0.00047,                   0.06,                 0.0003,                  8e-05,                 3.9614,                 5.2286,                 3.1167,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 2.4296,                 4.0862,                 1.9757,                0.00438,                   0.48,                0.00493,                0.00328,                 1.7411,                 4.0541,                 1.6272,             0.00018209,             0.00018209,             0.00018209
                      3,                 1.8197,                 2.8816,                 1.4686,                0.00694,                0.72667,                0.32934,                0.19052,                 1.7528,                 3.7395,                 1.5411,             0.00027448,             0.00027448,             0.00027448
                      4,                 1.5015,                 2.0868,                 1.3438,                0.00917,                   0.92,                 0.4622,                0.22776,                 1.6296,                 3.6097,                   1.41,             0.00036291,             0.00036291,             0.00036291
                      5,                 1.4709,                 1.7454,                 1.3543,                0.00994,                   0.96,                0.24607,                0.11231,                 1.6987,                 3.6418,                 1.5228,             0.00044738,             0.00044738,             0.00044738
                      6,                 1.4453,                 1.5452,                 1.3462,                      1,                0.30332,                0.95096,                0.55375,                 1.4954,                 2.7948,                  1.626,             0.00052789,             0.00052789,             0.00052789
                      7,                 1.2933,                 1.4023,                 1.3272,                      1,                0.57215,                  0.995,                0.73038,                 1.1801,                 2.5155,                 1.1407,             0.00060443,             0.00060443,             0.00060443
                      8,                 1.2676,                 1.2555,                  1.287,                      1,                 0.2679,                0.98879,                0.62691,                 1.3943,                 2.7429,                 1.2712,             0.00067702,             0.00067702,             0.00067702
                      9,                 1.2253,                 1.2876,                 1.2926,                      1,                0.63512,                  0.995,                0.62507,                 1.3606,                 2.2325,                 1.2665,             0.00074564,             0.00074564,             0.00074564
                     10,                   1.04,                 1.1967,                 1.2018,                0.99582,                0.94411,                  0.995,                0.69212,                 1.2194,                 1.9172,                 1.1966,              0.0008103,              0.0008103,              0.0008103
                     11,                 1.0421,                 1.1702,                 1.2487,                0.99162,                      1,                  0.995,                0.60707,                 1.4151,                 1.8619,                 1.2844,               0.000871,               0.000871,               0.000871
                     12,                 1.0399,                 1.1098,                 1.2073,                0.99195,                0.99681,                  0.995,                0.65027,                 1.3678,                 1.5334,                 1.2867,             0.00092774,             0.00092774,             0.00092774
