                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 62.143,                      0,                      0,                      0,                      0,                      0,                      0,                 16.484,                      0,                      0,                      0,                      0
                      2,                      0,                  62.18,                      0,                      0,                      0,                      0,                      0,                      0,                 16.493,                      0,             1.2376e-05,             1.2376e-05,             1.2376e-05
                      3,                      0,                 62.043,                      0,                      0,                      0,                      0,                      0,                      0,                 16.502,                      0,             2.4505e-05,             2.4505e-05,             2.4505e-05
                      4,                      0,                 61.856,                      0,                      0,                      0,                      0,                      0,                      0,                 16.511,                      0,             3.6386e-05,             3.6386e-05,             3.6386e-05
                      5,                      0,                 61.657,                      0,                      0,                      0,                      0,                      0,                      0,                 16.519,                      0,              4.802e-05,              4.802e-05,              4.802e-05
                      6,                      0,                 61.336,                      0,                      0,                      0,                      0,                      0,                      0,                 16.527,                      0,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      7,                      0,                 61.115,                      0,                      0,                      0,                      0,                      0,                      0,                 16.532,                      0,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      8,                      0,                 60.868,                      0,                      0,                      0,                      0,                      0,                      0,                 16.535,                      0,             8.1436e-05,             8.1436e-05,             8.1436e-05
                      9,                      0,                 60.527,                      0,                      0,                      0,                      0,                      0,                      0,                 16.534,                      0,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                      0,                 60.318,                      0,                      0,                      0,                      0,                      0,                      0,                 16.533,                      0,             0.00010248,             0.00010248,             0.00010248
                     11,                      0,                 59.954,                      0,                      0,                      0,                      0,                      0,                      0,                 16.529,                      0,             0.00011263,             0.00011263,             0.00011263
                     12,                      0,                 59.699,                      0,                      0,                      0,                      0,                      0,                      0,                 16.522,                      0,             0.00012253,             0.00012253,             0.00012253
                     13,                      0,                 59.408,                      0,                      0,                      0,                      0,                      0,                      0,                 16.511,                      0,             0.00013218,             0.00013218,             0.00013218
                     14,                      0,                 59.015,                      0,                      0,                      0,                      0,                      0,                      0,                 16.497,                      0,             0.00014159,             0.00014159,             0.00014159
                     15,                      0,                 58.678,                      0,                      0,                      0,                      0,                      0,                      0,                  16.48,                      0,             0.00015075,             0.00015075,             0.00015075
                     16,                      0,                 58.142,                      0,                      0,                      0,                      0,                      0,                      0,                 16.463,                      0,             0.00015966,             0.00015966,             0.00015966
                     17,                      0,                 57.738,                      0,                      0,                      0,                      0,                      0,                      0,                 16.444,                      0,             0.00016832,             0.00016832,             0.00016832
                     18,                      0,                 57.365,                      0,                      0,                      0,                      0,                      0,                      0,                 16.444,                      0,             0.00017674,             0.00017674,             0.00017674
                     19,                      0,                  57.17,                      0,                      0,                      0,                      0,                      0,                      0,                 16.422,                      0,             0.00018491,             0.00018491,             0.00018491
                     20,                      0,                 56.582,                      0,                      0,                      0,                      0,                      0,                      0,                 16.422,                      0,             0.00019283,             0.00019283,             0.00019283
