                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87048,                 2.5941,                 1.3158,                0.00333,                      1,                0.54763,                0.29312,                0.31507,                 3.1105,                 1.0733,                      0,                      0,                      0
                      2,                0.62949,                 2.5224,                 1.2025,                0.00333,                      1,                0.56167,                0.30451,                0.31214,                 3.0989,                 1.0642,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                0.60245,                 2.5082,                 1.1264,                0.00333,                      1,                0.62758,                0.31257,                 0.3051,                 3.0899,                 1.0362,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                0.45376,                 2.5781,                 1.0702,                0.00333,                      1,                0.66167,                0.50385,                0.28994,                 3.0757,                0.99847,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                0.33669,                 2.3353,                0.97489,                0.00333,                      1,                  0.745,                0.58264,                0.27126,                 3.0593,                0.98156,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                0.33931,                 2.2327,                 1.0186,                0.00333,                      1,                  0.895,                0.61621,                0.25654,                 3.0562,                0.96334,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                0.31863,                 2.1136,                0.92416,                0.00333,                      1,                  0.895,                0.66477,                0.24777,                 3.0316,                0.94617,             0.00010574,             0.00010574,             0.00010574
                      8,                0.30268,                 2.0165,                 1.0014,                0.00333,                      1,                0.82536,                0.73885,                0.25368,                 3.0008,                0.94893,              0.0001206,              0.0001206,              0.0001206
                      9,                0.27391,                 1.8393,                0.96826,                0.00333,                      1,                  0.995,                0.86778,                0.25523,                  2.942,                0.96312,             0.00013466,             0.00013466,             0.00013466
                     10,                0.32094,                 1.6425,                0.96472,                0.00333,                      1,                  0.995,                0.90778,                0.25502,                 2.8661,                0.94929,             0.00014792,             0.00014792,             0.00014792
                     11,                0.27901,                 1.4735,                 1.0038,                0.00333,                      1,                  0.995,                0.87861,                0.26631,                 2.8098,                0.94566,              0.0001604,              0.0001604,              0.0001604
                     12,                0.36272,                 1.3882,                0.88956,                0.00807,                      1,                  0.995,                0.87861,                0.28445,                 2.7273,                0.95995,             0.00017208,             0.00017208,             0.00017208
                     13,                0.32048,                0.98539,                0.88962,                0.46296,                      1,                  0.995,                0.87861,                0.35783,                 2.6809,                 1.0071,             0.00018298,             0.00018298,             0.00018298
                     14,                0.36617,                 1.1387,                0.92818,                 0.6834,                      1,                  0.995,                0.87861,                0.37975,                 2.6754,                 1.0253,             0.00019308,             0.00019308,             0.00019308
                     15,                0.37659,                 1.0743,                0.98533,                0.52154,                      1,                  0.995,                0.87861,                0.37936,                 2.6825,                 1.0244,             0.00020238,             0.00020238,             0.00020238
                     16,                0.32655,                0.83315,                0.85703,                 0.3576,                      1,                  0.995,                0.87027,                0.36094,                  2.703,                 1.0141,              0.0002109,              0.0002109,              0.0002109
                     17,                 0.3493,                0.81538,                0.91195,                0.00739,                      1,                  0.995,                0.86789,                0.34541,                 2.7188,                0.99883,             0.00021862,             0.00021862,             0.00021862
                     18,                0.25821,                0.83661,                0.80554,                0.00739,                      1,                  0.995,                0.86789,                0.34541,                 2.7188,                0.99883,             0.00022556,             0.00022556,             0.00022556
                     19,                0.48714,                 1.0369,                 1.0592,                0.00333,                      1,                  0.995,                0.87873,                0.31961,                 2.7902,                0.97394,              0.0002317,              0.0002317,              0.0002317
                     20,                0.32686,                0.74303,                0.94969,                0.00333,                      1,                  0.995,                0.87873,                0.31961,                 2.7902,                0.97394,             0.00023704,             0.00023704,             0.00023704
                     21,                 0.3558,                0.84227,                0.92122,                0.00333,                      1,                  0.995,                0.95753,                0.28024,                 2.8362,                0.96607,              0.0002416,              0.0002416,              0.0002416
                     22,                0.28827,                0.75957,                0.87235,                0.00333,                      1,                  0.995,                0.95753,                0.28024,                 2.8362,                0.96607,             0.00024536,             0.00024536,             0.00024536
                     23,                0.29727,                0.79634,                0.91616,                0.00712,                      1,                  0.895,                0.82779,                 0.2565,                 2.7594,                0.93582,             0.00024834,             0.00024834,             0.00024834
                     24,                0.40474,                0.85939,                0.93113,                0.00712,                      1,                  0.895,                0.82779,                 0.2565,                 2.7594,                0.93582,             0.00025052,             0.00025052,             0.00025052
                     25,                0.45292,                 1.0936,                0.93022,                      1,                0.66006,                  0.945,                0.84283,                0.27645,                  2.638,                0.94085,              0.0002519,              0.0002519,              0.0002519
                     26,                0.37386,                 1.1633,                0.93349,                      1,                0.66006,                  0.945,                0.84283,                0.27645,                  2.638,                0.94085,              0.0002525,              0.0002525,              0.0002525
                     27,                0.40147,                0.80014,                0.93706,                      1,                0.79193,                  0.995,                0.88908,                0.29598,                 2.4968,                0.95313,              0.0002523,              0.0002523,              0.0002523
